"#","","Date/Time","Game Num","Crt","Sport","Team 1","Team 2","Score","Score 2","Wait Duration","Play Duration","Submit Source","Type","Match Type","Schedule Id","Match ID"
"33","","2026-09-22T03:10:07.000Z","","12","","Walker F. & Michael S.","Christopher G. & Stork 🇺🇸🍻","8 - 11","11 - 8","00:00:57","00:04:38","Scoreboard","Live","","","kmO1BiOy7I6fvoT6sVOK"
"32","","2026-09-22T03:08:40.000Z","","11","","Juju🇩🇴🧿 & Mike B.","JonMac75☘️ & Michael G.","13 - 15","15 - 13","00:01:13","00:09:04","Scoreboard","Live","","","EYzuIOzBvODiBWvu91AY"
"31","","2026-09-22T03:04:30.000Z","","12","","Michael S. & Adam K.","Josh J. & Hersh","13 - 15","15 - 13","00:00:50","00:10:37","Scoreboard","Live","","","GMvL5YDH3VU8GlpPp6XK"
"30","","2026-09-22T02:58:21.000Z","","11","","Walker F. & Juju🇩🇴🧿","JonMac75☘️ & Paul I.","14 - 12","12 - 14","00:00:37","00:08:07","Scoreboard","Live","","","tKbrqKTiqrOsFAxbz6dF"
"29","","2026-09-22T02:53:02.000Z","","12","","Michael G. & Stork 🇺🇸🍻","Christopher G. & Mike B.","11 - 6","6 - 11","00:00:38","00:05:27","Scoreboard","Live","","","8modHQwCUMt67QzPGzol"
"28","","2026-09-22T02:49:36.000Z","","11","","Michael S. & Hersh","Paul I. & Adam K.","8 - 11","11 - 8","00:00:26","00:07:12","Scoreboard","Live","","","5CYneAK1iXwNQ7twnVnN"
"27","","2026-09-22T02:46:55.000Z","","12","","Stork 🇺🇸🍻 & Josh J.","Juju🇩🇴🧿 & JonMac75☘️","8 - 11","11 - 8","00:00:32","00:06:17","Scoreboard","Live","","","crwcNZpmeMccyE8TQHJz"
"26","","2026-09-22T02:41:57.000Z","","11","","Walker F. & Paul I.","Adam K. & Michael G.","11 - 8","8 - 11","00:00:29","00:06:13","Scoreboard","Live","","","4mkR2fH4FT0hg8xylbfJ"
"25","","2026-09-22T02:40:05.000Z","","12","","JonMac75☘️ & Mike B.","Christopher G. & Josh J.","8 - 11","11 - 8","00:00:40","00:06:51","Scoreboard","Live","","","cPWPu64rgQSPxaYaYput"
"24","","2026-09-22T02:35:13.000Z","","11","","Michael S. & Paul I.","Adam K. & Hersh","11 - 5","5 - 11","00:01:11","00:04:32","Scoreboard","Live","","","iqA0j6xIyHJ8pkmiCxJH"
"23","","2026-09-22T02:32:33.000Z","","12","","Mike B. & Josh J.","Michael G. & Walker F.","5 - 11","11 - 5","00:00:37","00:04:23","Scoreboard","Live","","","WtubUOE8B4B1oIcZa2pU"
"22","","2026-09-22T02:29:28.000Z","","11","","JonMac75☘️ & Hersh","Juju🇩🇴🧿 & Stork 🇺🇸🍻","11 - 9","9 - 11","00:01:03","00:07:26","Scoreboard","Live","","","3IVETeVZie0CKvar5ZKB"
"21","","2026-09-22T02:27:32.000Z","","12","","Michael G. & Mike B.","Paul I. & Christopher G.","12 - 10","10 - 12","00:00:26","00:06:23","Scoreboard","Live","","","k6c2PbEzm218N6eWvwXf"
"20","","2026-09-22T02:20:57.000Z","","11","","JonMac75☘️ & Adam K.","Michael S. & Stork 🇺🇸🍻","11 - 9","9 - 11","00:00:39","00:08:28","Scoreboard","Live","","","s1M7uL3TJveSY6RzosCk"
"19","","2026-09-22T02:20:41.000Z","","12","","Walker F. & Christopher G.","Josh J. & Juju🇩🇴🧿","8 - 11","11 - 8","00:00:57","00:05:29","Scoreboard","Live","","","hvi8BzQxwGFlH6g4aTlM"
"18","","2026-09-22T02:14:13.000Z","","12","","Walker F. & Mike B.","Christopher G. & Hersh","14 - 15","15 - 14","00:00:34","00:11:13","Scoreboard","Live","","","6II4MXxTlrXnv0IelNLO"
"17","","2026-09-22T02:11:49.000Z","","11","","Stork 🇺🇸🍻 & Adam K.","Josh J. & Michael S.","9 - 11","11 - 9","00:00:36","00:10:08","Scoreboard","Live","","","ZRfP7OwI4HJ2dL15vzav"
"16","","2026-09-22T02:02:24.000Z","","12","","Paul I. & Juju🇩🇴🧿","Hersh & Michael G.","12 - 10","10 - 12","00:01:23","00:07:19","Scoreboard","Live","","","7IW4akLgBlBWKK3IeZMe"
"15","","2026-09-22T02:01:04.000Z","","11","","Mike B. & Adam K.","Stork 🇺🇸🍻 & JonMac75☘️","9 - 11","11 - 9","00:00:55","00:07:11","Scoreboard","Live","","","9SggCqFQbF74kbSiOHAP"
"14","","2026-09-22T01:53:41.000Z","","12","","Paul I. & Josh J.","Hersh & Walker F.","6 - 11","11 - 6","00:00:51","00:04:36","Scoreboard","Live","","","1cPmxo1PubU8OEcO2LLA"
"13","","2026-09-22T01:52:58.000Z","","11","","Michael G. & Juju🇩🇴🧿","Christopher G. & Michael S.","11 - 8","8 - 11","00:00:56","00:06:29","Scoreboard","Live","","","3JA9nYmHGm4rvizKNy80"
"12","","2026-09-22T01:48:12.000Z","","12","","Paul I. & Hersh","Stork 🇺🇸🍻 & Mike B.","9 - 11","11 - 9","00:00:38","00:08:08","Scoreboard","Live","","","LR0QxkrZeUZhAk9oTItZ"
"11","","2026-09-22T01:45:31.000Z","","11","","Christopher G. & JonMac75☘️","Adam K. & Juju🇩🇴🧿","12 - 10","10 - 12","00:01:04","00:07:39","Scoreboard","Live","","","Rn6AA3tQhl4PhFcGMzhh"
"10","","2026-09-22T01:39:24.000Z","","12","","Mike B. & Michael S.","Walker F. & Josh J.","5 - 11","11 - 5","00:00:23","00:04:11","Scoreboard","Live","","","tw3HNcPW0qPLaiXudtVP"
"9","","2026-09-22T01:36:46.000Z","","11","","Juju🇩🇴🧿 & Hersh","Christopher G. & Adam K.","11 - 13","13 - 11","00:00:26","00:08:22","Scoreboard","Live","","","13t2Lcf0KC9K6FCD367W"
"8","","2026-09-22T01:34:49.000Z","","12","","Stork 🇺🇸🍻 & Walker F.","Paul I. & Michael G.","6 - 11","11 - 6","00:01:01","00:04:35","Scoreboard","Live","","","a6uDZ2EIJzZDLvg5y38C"
"7","","2026-09-22T01:29:11.000Z","","12","","Mike B. & Paul I.","Josh J. & JonMac75☘️","11 - 4","4 - 11","00:00:39","00:04:28","Scoreboard","Live","","","kaEpgK18Nhlhcjh0wgWZ"
"6","","2026-09-22T01:27:57.000Z","","11","","Adam K. & Walker F.","Stork 🇺🇸🍻 & Hersh","11 - 9","9 - 11","00:01:03","00:06:45","Scoreboard","Live","","","b6JZrMuhTc2Tzl2tGAmU"
"5","","2026-09-22T01:24:03.000Z","","12","","Juju🇩🇴🧿 & Christopher G.","Michael S. & Michael G.","11 - 9","9 - 11","00:00:21","00:07:11","Scoreboard","Live","","","9j6dtyqbZ0ZMnop71WkR"
"4","","2026-09-22T01:20:08.000Z","","11","","Paul I. & Stork 🇺🇸🍻","Hersh & Mike B.","12 - 10","10 - 12","00:01:58","00:08:11","Scoreboard","Live","","","qKNBpCyxO5vxBmnAN9Qz"
"3","","2026-09-22T01:16:30.000Z","","12","","Michael S. & JonMac75☘️","Michael G. & Josh J.","11 - 6","6 - 11","00:00:34","00:05:05","Scoreboard","Live","","","f9aHefVOSzSJSLKeHtOk"
"2","","2026-09-22T01:10:49.000Z","","12","","Michael G. & Christopher G.","Adam K. & Josh J.","11 - 7","7 - 11","00:07:46","00:05:25","Scoreboard","Live","","","jItzUfPDSYngzjNmkqwa"
"1","","2026-09-22T01:09:58.000Z","","11","","Walker F. & JonMac75☘️","Juju🇩🇴🧿 & Michael S.","11 - 8","8 - 11","00:07:45","00:04:36","Scoreboard","Live","","","WMK0zTuse04pWxNLyKaZ"
