"#","","Date/Time","Game Num","Crt","Sport","Team 1","Team 2","Score","Score 2","Wait Duration","Play Duration","Submit Source","Type","Match Type","Schedule Id","Match ID"
"28","","2026-09-15T18:00:10.000Z","","4","","Michael C. & JonMac75☘️","Renata P. & Hersh","8 - 11","11 - 8","00:01:24","00:06:02","Scoreboard","Live","","","VefoqJFAk4yQYbRCJW18"
"27","","2026-09-15T17:56:56.000Z","","5","","Ronnie D & Frank R.","D-Hub27🍺 & Charles M.","15 - 13","13 - 15","00:00:39","00:10:39","Scoreboard","Live","","","nLK37ibLhucjVT5TYr67"
"26","","2026-09-15T17:52:42.000Z","","4","","Hersh & JonMac75☘️","Jay C & Kevin M.","6 - 11","11 - 6","00:01:04","00:05:49","Scoreboard","Live","","","11ujCZf6e3N5jxSVl6X7"
"25","","2026-09-15T17:45:48.000Z","","4","","Jay C & Michael C.","Renata P. & Tony R.","13 - 15","15 - 13","00:01:00","00:08:48","Scoreboard","Live","","","oGyNAQnNdVfHfDUGO3kX"
"24","","2026-09-15T17:45:36.000Z","","5","","D-Hub27🍺 & Keri F.","Kevin M. & Frank R.","11 - 9","9 - 11","00:00:42","00:08:14","Scoreboard","Live","","","wxWpwAeowIZfOsC4murh"
"23","","2026-09-15T17:36:37.000Z","","5","","D-Hub27🍺 & Frank R.","Ronnie D & Kevin M.","8 - 11","11 - 8","00:00:36","00:06:09","Scoreboard","Live","","","Nht47INmaBhTWf1x0D2x"
"22","","2026-09-15T17:35:58.000Z","","4","","Keri F. & Hersh","Charles M. & JonMac75☘️","2 - 11","11 - 2","00:00:55","00:04:30","Scoreboard","Live","","","a0x8ifgJvqnO3UBS7prN"
"21","","2026-09-15T17:30:31.000Z","","4","","Jay C & Hersh","Keri F. & Charles M.","11 - 13","13 - 11","00:00:38","00:08:27","Scoreboard","Live","","","pWAHkAyMTFYIUR5ccAJj"
"20","","2026-09-15T17:29:51.000Z","","5","","Ronnie D & Michael C.","JonMac75☘️ & Tony R.","7 - 11","11 - 7","00:00:59","00:05:58","Scoreboard","Live","","","M1BnamdSVbU0E0b6hYlK"
"19","","2026-09-15T17:22:52.000Z","","5","","D-Hub27🍺 & Renata P.","Kevin M. & Tony R.","11 - 8","8 - 11","00:00:38","00:06:26","Scoreboard","Live","","","0ixuxHyBu6JzL9rYBMCb"
"18","","2026-09-15T17:21:24.000Z","","4","","Jay C & Keri F.","JonMac75☘️ & Frank R.","9 - 11","11 - 9","00:00:54","00:06:52","Scoreboard","Live","","","JmQx0IiGt9UtvnAGTWSl"
"17","","2026-09-15T17:15:47.000Z","","5","","D-Hub27🍺 & Tony R.","Charles M. & Ronnie D","14 - 15","15 - 14","00:00:32","00:13:18","Scoreboard","Live","","","QbO6xtUxg1USpxw2Sbmj"
"16","","2026-09-15T17:13:35.000Z","","4","","Michael C. & Renata P.","Frank R. & Hersh","10 - 12","12 - 10","00:00:51","00:07:26","Scoreboard","Live","","","iP1kv4gIjZLSd4Hl0SOd"
"15","","2026-09-15T17:05:16.000Z","","4","","Renata P. & Keri F.","Hersh & Kevin M.","9 - 11","11 - 9","00:00:49","00:06:56","Scoreboard","Live","","","8hzZXeJnk8uuwHbe5qch"
"14","","2026-09-15T17:01:55.000Z","","5","","Jay C & Frank R.","Charles M. & Michael C.","8 - 11","11 - 8","00:00:39","00:07:31","Scoreboard","Live","","","THmaAzsYCF78BzebwR5c"
"13","","2026-09-15T16:57:29.000Z","","4","","D-Hub27🍺 & Ronnie D","JonMac75☘️ & Kevin M.","9 - 11","11 - 9","00:00:13","00:11:13","Scoreboard","Live","","","XBMYyPgoq2qKqKy8XpQG"
"12","","2026-09-15T16:53:44.000Z","","5","","Frank R. & Renata P.","Hersh & Tony R.","11 - 13","13 - 11","00:00:42","00:09:03","Scoreboard","Live","","","pk12OKSNR8OFkv35roIP"
"11","","2026-09-15T16:46:01.000Z","","4","","D-Hub27🍺 & JonMac75☘️","Charles M. & Jay C","11 - 9","9 - 11","00:00:34","00:08:28","Scoreboard","Live","","","w9ePLcvoqmqj6eKVy958"
"10","","2026-09-15T16:43:58.000Z","","5","","Keri F. & Kevin M.","Tony R. & Michael C.","11 - 7","7 - 11","00:00:29","00:05:44","Scoreboard","Live","","","A6OeJSSjqNuUXgqfY1my"
"9","","2026-09-15T16:37:43.000Z","","5","","Keri F. & Frank R.","Hersh & Ronnie D","2 - 11","11 - 2","00:00:50","00:03:43","Scoreboard","Live","","","l7wyJ5dR5u6o0lyyTccN"
"8","","2026-09-15T16:36:57.000Z","","4","","Tony R. & Charles M.","Michael C. & Kevin M.","11 - 4","4 - 11","00:00:57","00:04:53","Scoreboard","Live","","","UHJtj4Nn9VaClr4vlngf"
"7","","2026-09-15T16:33:09.000Z","","5","","D-Hub27🍺 & Hersh","Jay C & Renata P.","11 - 4","4 - 11","00:00:25","00:04:51","Scoreboard","Live","","","zmJE9gUWNVdU2g1Zvvfy"
"6","","2026-09-15T16:31:05.000Z","","4","","Charles M. & Kevin M.","JonMac75☘️ & Ronnie D","9 - 11","11 - 9","00:00:26","00:08:28","Scoreboard","Live","","","PMTQDuw4Ig0Cxl94RzaQ"
"5","","2026-09-15T16:27:52.000Z","","5","","Keri F. & Tony R.","Michael C. & Frank R.","9 - 11","11 - 9","00:01:15","00:07:10","Scoreboard","Live","","","HYbhToH2RgypYlK5SDus"
"4","","2026-09-15T16:22:09.000Z","","4","","Charles M. & Hersh","Kevin M. & D-Hub27🍺","11 - 7","7 - 11","00:02:20","00:07:03","Scoreboard","Live","","","t5Dr6EWMHPrJ1CUauHDn"
"3","","2026-09-15T16:19:25.000Z","","5","","Renata P. & Ronnie D","JonMac75☘️ & Jay C","9 - 11","11 - 9","00:00:48","00:05:41","Scoreboard","Live","","","y9pCrtNlsngQsJy39TTN"
"2","","2026-09-15T16:12:54.000Z","","5","","Frank R. & Tony R.","Ronnie D & Jay C","9 - 11","11 - 9","00:08:53","00:06:48","Scoreboard","Live","","","UVsX41Cbq28m4TI6hCRh"
"1","","2026-09-15T16:12:45.000Z","","4","","Renata P. & JonMac75☘️","Keri F. & Michael C.","12 - 10","10 - 12","00:07:59","00:07:49","Scoreboard","Live","","","noUhWN8uYPryzyp6r8pO"
